block_number,timestamp_ms,spec_version,submit_data_bytes,submit_data_count,block_fee_plancks,block_time_ms
2522539,1770550860000,50,0,0,0,0
2522540,1770550880000,50,0,0,0,20000
2522541,1770550900000,50,0,0,0,20000
2522542,1770550920001,50,0,0,0,20001
2522543,1770550940000,50,0,0,0,19999
2522544,1770550960000,50,0,0,0,20000
2522545,1770550980000,50,0,0,0,20000
2522546,1770551000000,50,0,0,0,20000
2522547,1770551020001,50,0,0,0,20001
2522548,1770551040000,50,0,0,0,19999
2522549,1770551060000,50,0,0,0,20000
2522550,1770551080000,50,0,0,0,20000
2522551,1770551100000,50,0,0,0,20000
2522552,1770551120001,50,15734,1,130835393845670819,20001
2522553,1770551140000,50,0,0,0,19999
2522554,1770551160000,50,0,0,0,20000
2522555,1770551180000,50,0,0,0,20000
2522556,1770551200000,50,0,0,0,20000
2522557,1770551220000,50,0,0,0,20000
2522558,1770551240000,50,0,0,0,20000
2522559,1770551260000,50,0,0,0,20000
2522560,1770551280001,50,0,0,0,20001
2522561,1770551300000,50,0,0,0,19999
2522562,1770551320000,50,0,0,0,20000
2522563,1770551340000,50,0,0,0,20000
2522564,1770551360000,50,0,0,0,20000
2522565,1770551380000,50,0,0,0,20000
2522566,1770551400000,50,0,0,0,20000
2522567,1770551420000,50,0,0,0,20000
2522568,1770551440000,50,0,0,0,20000
2522569,1770551460000,50,0,0,0,20000
2522570,1770551480001,50,0,0,0,20001
2522571,1770551500000,50,0,0,0,19999
2522572,1770551520001,50,0,0,0,20001
2522573,1770551540000,50,0,0,0,19999
2522574,1770551560000,50,0,0,0,20000
2522575,1770551580001,50,0,0,0,20001
2522576,1770551600000,50,0,0,0,19999
2522577,1770551620001,50,0,0,0,20001
2522578,1770551640001,50,0,0,0,20000
2522579,1770551660000,50,0,0,0,19999
2522580,1770551680000,50,0,0,0,20000
2522581,1770551700000,50,0,0,0,20000
2522582,1770551720000,50,0,0,0,20000
2522583,1770551740000,50,0,0,0,20000
2522584,1770551760000,50,0,0,0,20000
2522585,1770551780000,50,0,0,0,20000
2522586,1770551800000,50,0,0,0,20000
2522587,1770551820000,50,0,0,0,20000
2522588,1770551840001,50,0,0,0,20001
