height,time,timestamp_ms,version_app,hash,proposer_address,proposer_moniker,tx_count,events_count,blobs_size,blobs_count,block_time_ms,square_size,fill_rate,fee_utia,gas_used,gas_limit,bytes_in_block,supply_change,inflation_rate,rewards,commissions
8908219,2025-12-12T00:00:05.970789Z,1765497605970,6,70DE4CD14B4432BF79538C400CD24863F2CCC39E2771B14620DC0F0123605480,E2BD4F895F9DE0B46B2ED4BAA12EE2DE6A415450,Imperator.co,3,245,97807,31,6099,16,0.052,4356,1070756,1133105,101964,5192864,0.0232420563,5089338.939999999745533004,903824.103276777281702002
8908220,2025-12-12T00:00:12.076568Z,1765497612076,6,3E058036B890B9DF495804E087ECF99EC683FA09169CF8DEC26409DB9331FC1A,1E7BA20AACF7EF2CDEA41CDFF8DCEDFBCF12F363,ZKV,3,245,97183,32,6105,16,0.0517,6183,1138416,1242593,101527,5197984,0.0232420563,5098293.199999999745085296,905414.305090886977399037
8908221,2025-12-12T00:00:18.183897Z,1765497618183,6,C4C53DBF6BDDFF4D2A486FBB495F3734AE095A4252CCAE921972F2E0E88B006F,026AAE267ACF562B632289AF49FE3CED4A04D252,BinanceNode,1,241,458,1,6107,2,0.0004,320,53460,79796,837,5199303,0.0232420563,5101376.279999999744931141,905961.834357297079474429
8908222,2025-12-12T00:00:24.288703Z,1765497624288,6,162E0CB524A7E5847050FE92D39C351CC77121F530AE709DBCD86A89E5B3EC07,3DEA7F647851564D6764306F108921BBFC29ADCE,senggigi,2,242,97640,33,6104,16,0.0518,4183,992386,1045548,101626,5197155,0.0232420563,5093525.499999999745323704,904567.601377891063032607
8908223,2025-12-12T00:00:30.388425Z,1765497630388,6,4950F12B77990A47633FDB62AFBCBC45570BE24767F7FA6C355555A851D52E1A,CB6133C282991C32985AC2779EA277EE8978AC63,Qubelabs,1,244,459,1,6099,2,0.0004,320,53460,79796,838,5192827,0.0232420563,5093069.799999999745346469,904486.672862671515205189
8908224,2025-12-12T00:00:36.502727Z,1765497636502,6,2AA8427DDC4B4D76C267BEA2E8807D593329177E97CCBD150331E62ACC0872BD,65AFA0603AAD6F854F8EC3BF8F1030E6D0568486,Validatus,4,242,99076,34,6114,16,0.0529,4710,1113114,1176975,103737,5205240,0.0232420563,5101448.799999999744927519,905974.713303805136548037
8908225,2025-12-12T00:00:42.622211Z,1765497642622,6,1C82C8B5F03C786B0970490F5AAF6A530F6FB7A1CBA4C87B34A03BE391E3B308,A460F7A9868E3C318FBE8F429665A2E81AE44731,Kraken,3,238,446,1,6119,8,0.0114,101114,426595,976565,22468,5209651,0.0232420563,5110073.779999999744496263,907506.437739175546072994
8908226,2025-12-12T00:00:48.729972Z,1765497648729,6,EB8E093B77645EF11555F21D9EFE4D94EAFE2C4A4C3C678AEB5FA68EB1E22405,07E5EAFEE033B9897E4136DDF30D9715E6AC63AE,B-Harvest,3,243,97153,32,6107,16,0.0517,104164,1055570,1540752,101363,5199671,0.0232420563,5194769.299999999740261483,922547.654942044796474687
8908227,2025-12-12T00:00:54.830021Z,1765497654830,6,908739B9C8EFD0ABAAD4DDC21A2CB9A9D9A6DB96632815BC4576C7E6CDBB658D,E2DDC50DEB3F56AA58F29EB1EBB4631A684F7684,01node,3,240,118014,93,6100,32,0.0655,5733,1352301,1432884,128517,5193105,0.0232420563,5191323.619999999740433768,921935.730943094409031237
8908228,2025-12-12T00:01:00.928264Z,1765497660928,6,24964EA713662E8C4ACEAB218CA738E9A28795922112FD3B6A453F678F1EB1FE,E65D72B89CBEF9A6F419C9BDE6C975AA0BF21A97,Figment,1,251,924,3,6098,4,0.0008,358,62989,89388,1512,5191568,0.0232420563,5093354.979999999745332204,904537.318449615361264924
