_day,block_count,total_bytes,total_txs,non_empty_blocks,avg_block_time_ms,p10_block_time_ms,p50_block_time_ms,p90_block_time_ms,p50_payload_bytes,p90_payload_bytes,p99_payload_bytes,daily_mib,actual_mib_per_s,max_mib_per_s,utilization_pct,avg_eth_usd,p10_eth_usd,p50_eth_usd,p90_eth_usd,cost_per_mib_usd,cost_per_mib_day_usd,cost_per_mib_usd_p10,cost_per_mib_usd_p50,cost_per_mib_usd_p90,daily_da_spend_usd,actual_mib_per_s_7d,utilization_pct_7d,daily_mib_7d,cost_per_mib_usd_7d,cumulative_daily_mib,cumulative_daily_da_spend_usd
2025-11-16,13493,162476656,37474,12263,3231.199264818502,1000.0,2000.0,6000.0,3220.0,22427.20000000004,147244.19999999984,154.94981384277344,0.0057418592545309954,0.476837158203125,1.2041551619358186,3096.499,3065.098,3090.31,3149.12,3.246914535424e-09,4.63844933632e-10,3.213988200448e-09,3.2404248985600003e-09,3.30209165312e-09,5.031088028273439e-07,0.0057418592545309954,1.2041551619358186,154.94981384277344,3.246914535424e-09,154.94981384277344,5.031088028273439e-07
2025-11-17,27600,170952085,78590,25106,3234.659877952903,1000.0,2000.0,6000.0,2165.0,9928.400000000009,85608.20999999996,163.03261280059814,0.0029534893623296764,0.476837158203125,0.6193916123188405,3124.144166666667,3008.267,3137.625,3194.33,3.275902593706667e-09,4.679860848152381e-10,3.154396577792e-09,3.290038272e-09,3.34949777408e-09,5.340789591322543e-07,0.004347674308430336,0.9117733871273296,158.9912133216858,3.2614085645653335e-09,317.9824266433716,1.037187761959598e-06
2025-11-18,26091,622953005,87521,23449,3422.9793977812997,1000.0,2000.0,7000.0,5638.0,37254.0,282303.49999999994,594.0942811965942,0.011385042374699977,0.476837158203125,2.3876164386186804,3063.536666666667,3004.0589999999997,3054.9849999999997,3137.2369999999996,3.212351023786667e-09,4.58907289112381e-10,3.149984169984e-09,3.20338395136e-09,3.289631424512e-09,1.9084393724276834e-06,0.00669346366385355,1.4037210709577799,304.0255692799886,3.2450560509724446e-09,912.0767078399658,2.9456271343872814e-06
2025-11-19,24999,682087081,90596,22738,3571.7415567773137,1000.0,2000.0,6000.0,7535.0,39884.0,300333.24000000005,650.4889307022095,0.01301029902600523,0.476837158203125,2.728457462298492,3031.101666666667,2922.248,3055.92,3100.627,3.178340461226667e-09,4.540486373180953e-10,3.064199118848e-09,3.20436436992e-09,3.2512430571520002e-09,2.067475288030902e-06,0.00827267250439147,1.7349051687929578,390.6414096355438,3.228377153536e-09,1562.5656385421753,5.0131024224181836e-06
2025-11-20,25568,645024746,99224,23066,3482.7475008061915,1000.0,2000.0,6000.0,6190.0,39951.2,279805.3999999997,615.143533706665,0.012029559091572767,0.476837158203125,2.522781390801001,2969.3704166666666,2836.725,3010.13,3038.0860000000002,3.113610554026667e-09,4.4480150771809527e-10,2.9745217536e-09,3.1563500748800003e-09,3.1856640655360004e-09,1.9153173987903308e-06,0.009024049821827728,1.8924804131945663,435.5418344497681,3.205423833634134e-09,2177.7091722488403,6.928419821208514e-06
2025-11-21,24695,702093493,120501,22537,3612.168095337654,1000.0,2000.0,6000.0,9516.0,49070.00000000002,292128.70000000024,669.5685319900513,0.013556763150233879,0.476837158203125,2.8430592954039278,2761.912083333333,2698.624,2755.84,2827.474,2.8960747246933333e-09,4.1372496067047617e-10,2.829712359424e-09,2.8897076838400002e-09,2.9648213770240002e-09,1.9391205019464068e-06,0.009779502043228755,2.050910226896127,474.54628403981525,3.153865648810667e-09,2847.2777042388916,8.867540323154922e-06
2025-11-22,24961,734209039,93850,22670,3567.723818962669,1000.0,2000.0,6000.0,8406.0,54778.0,295161.6000000008,700.1963033676147,0.014025806325219638,0.476837158203125,2.941424778654701,2745.62875,2722.228,2747.0550000000003,2766.729,2.8790004121600002e-09,4.112857731657143e-10,2.8544629473280004e-09,2.8804959436800006e-09,2.901125627904e-09,2.015865445988271e-06,0.010386116940656024,2.178126591433066,506.7820010866438,3.114599186432e-09,3547.4740076065063,1.0883405769143193e-05
2025-11-23,25324,678960046,93673,23194,3523.5668270406914,1000.0,2000.0,6000.0,7541.0,40457.90000000002,274804.77,647.506757736206,0.012784448699577596,0.476837158203125,2.6810932159216554,2814.76375,2792.168,2817.165,2836.7999999999997,2.95149371392e-09,4.216419591314286e-10,2.927800352768e-09,2.95401160704e-09,2.9746003968e-09,1.9111121251791327e-06,0.011392201147091252,2.3891177420024716,577.1472787857056,3.072396211931429e-09,4194.980765342712,1.2794517894322325e-05
2025-11-24,24454,679671300,87840,22013,3644.2972836173444,1000.0,2000.0,6000.0,7217.5,56628.0,278918.8300000001,648.1850624084473,0.013253150045155133,0.476837158203125,2.779387012349718,2857.315416666667,2798.55,2834.125,2955.917,2.996112370346667e-09,4.2801605290666673e-10,2.9344923648000005e-09,2.9717954560000003e-09,3.0995036241920003e-09,1.9420352837558752e-06,0.012863581244637748,2.697688513435453,646.4547715868268,3.0324261800228575e-09,4843.16582775116,1.47365531780782e-05
2025-11-25,24507,695177066,95616,22452,3633.7862280738655,1000.0,2000.0,6000.0,7490.0,55911.00000000014,289743.59999999986,662.9725131988525,0.01352618666501107,0.476837158203125,2.8366469416901294,2919.087916666667,2888.1620000000003,2925.245,2943.493,3.060885531306667e-09,4.3726936161523814e-10,3.0284573573120004e-09,3.06734170112e-09,3.0864761159680003e-09,2.0292829733043857e-06,0.013169459000396474,2.7618357281599466,656.2945190157209,3.0107882525257145e-09,5506.138340950012,1.6765836151382585e-05
