block_number,timestamp_ms,blob_count,blob_gas_used,excess_blob_gas
23400559,1758326411000,9,1179648,0
23400560,1758326423000,0,0,393216
23400561,1758326435000,8,1048576,0
23400562,1758326447000,0,0,262144
23400563,1758326459000,6,786432,0
23400564,1758326471000,4,524288,0
23400565,1758326483000,8,1048576,0
23400566,1758326495000,6,786432,262144
23400567,1758326507000,9,1179648,262144
23400568,1758326519000,3,393216,655360
23400569,1758326531000,0,0,262144
23400570,1758326543000,6,786432,0
23400571,1758326555000,7,917504,0
23400572,1758326567000,9,1179648,131072
23400573,1758326579000,4,524288,524288
23400574,1758326591000,6,786432,262144
23400575,1758326603000,9,1179648,262144
23400576,1758326615000,3,393216,655360
23400577,1758326627000,6,786432,262144
23400578,1758326639000,7,917504,262144
23400579,1758326651000,6,786432,393216
23400580,1758326663000,3,393216,393216
23400581,1758326675000,0,0,0
23400582,1758326687000,7,917504,0
23400583,1758326699000,3,393216,131072
23400584,1758326711000,6,786432,0
23400585,1758326723000,8,1048576,0
23400586,1758326735000,4,524288,262144
23400587,1758326747000,3,393216,0
23400588,1758326759000,3,393216,0
23400589,1758326771000,4,524288,0
23400590,1758326783000,6,786432,0
23400591,1758326795000,0,0,0
23400592,1758326807000,5,655360,0
23400593,1758326819000,3,393216,0
23400594,1758326831000,9,1179648,0
23400595,1758326843000,8,1048576,393216
23400596,1758326855000,8,1048576,655360
23400597,1758326867000,9,1179648,917504
23400598,1758326879000,7,917504,1310720
23400599,1758326891000,3,393216,1441792
23400600,1758326903000,7,917504,1048576
23400601,1758326915000,6,786432,1179648
23400602,1758326927000,4,524288,1179648
23400603,1758326939000,6,786432,917504
23400604,1758326951000,5,655360,917504
23400605,1758326963000,6,786432,786432
23400606,1758326975000,8,1048576,786432
23400607,1758326987000,6,786432,1048576
23400608,1758326999000,9,1179648,1048576
23400609,1758327011000,3,393216,1441792
23400610,1758327023000,6,786432,1048576
23400611,1758327035000,9,1179648,1048576
23400612,1758327047000,4,524288,1441792
23400613,1758327059000,7,917504,1179648
23400614,1758327071000,3,393216,1310720
23400615,1758327083000,0,0,917504
23400616,1758327095000,0,0,131072
23400617,1758327107000,9,1179648,0
23400618,1758327119000,7,917504,393216
23400619,1758327131000,0,0,524288
23400620,1758327143000,9,1179648,0
23400621,1758327155000,9,1179648,393216
23400622,1758327167000,8,1048576,786432
23400623,1758327179000,4,524288,1048576
23400624,1758327191000,6,786432,786432
23400625,1758327203000,7,917504,786432
23400626,1758327215000,9,1179648,917504
23400627,1758327227000,8,1048576,1310720
23400628,1758327239000,8,1048576,1572864
23400629,1758327251000,9,1179648,1835008
23400630,1758327263000,6,786432,2228224
23400631,1758327275000,9,1179648,2228224
23400632,1758327287000,2,262144,2621440
23400633,1758327299000,6,786432,2097152
23400634,1758327311000,7,917504,2097152
23400635,1758327323000,3,393216,2228224
23400636,1758327335000,0,0,1835008
23400637,1758327347000,8,1048576,1048576
23400638,1758327359000,3,393216,1310720
23400639,1758327371000,9,1179648,917504
23400640,1758327383000,0,0,1310720
23400641,1758327395000,0,0,524288
23400642,1758327407000,9,1179648,0
23400643,1758327419000,7,917504,393216
23400644,1758327431000,8,1048576,524288
23400645,1758327443000,4,524288,786432
23400646,1758327455000,9,1179648,524288
23400647,1758327467000,0,0,917504
23400648,1758327479000,4,524288,131072
23400649,1758327491000,9,1179648,0
23400650,1758327503000,5,655360,393216
23400651,1758327515000,6,786432,262144
23400652,1758327527000,7,917504,262144
23400653,1758327539000,6,786432,393216
23400654,1758327551000,3,393216,393216
23400655,1758327563000,6,786432,0
23400656,1758327575000,3,393216,0
