_day,block_count,blocks_with_data,total_encoded_bytes,total_gas_used,total_gas_limit,total_chunks_produced,total_da_cost_near,avg_block_time_ms,p10_block_time_ms,p50_block_time_ms,p90_block_time_ms,p50_encoded_bytes,p90_encoded_bytes,p99_encoded_bytes,p10_cost_per_byte_near,p50_cost_per_byte_near,p90_cost_per_byte_near,daily_data_mib,actual_mib_per_s,max_mib_per_s,utilization_pct,avg_cost_per_mib_near,cost_per_mib_near_p10,cost_per_mib_near_p50,cost_per_mib_near_p90,avg_near_usd,cost_per_mib_usd,cost_per_mib_usd_p10,cost_per_mib_usd_p50,cost_per_mib_usd_p90,daily_da_spend_usd,actual_mib_per_s_7d,utilization_pct_7d,daily_data_mib_7d,cost_per_mib_usd_7d,cumulative_daily_data_mib,cumulative_daily_da_spend_usd
2025-11-10,104526,104526,8214089034.0,2.7720719536031396e+19,9.40734e+20,933694,2772.0719536031393,626.0295440194409,452.0,605.0,751.0,43713.5,189503.5,418619.75,1.7543657991353733e-07,3.59100347535447e-07,6.591873150749698e-07,7833.565744400024,0.12387389312446008,59.01639344262295,0.2081769592786065,0.3538710268162118,0.18395858721941732,0.37654400601732885,0.6912079980920516,2.9099050416666667,1.029731085032255,0.5353020204076597,1.095707301519189,2.0113496384883844,8066.466153652541,0.12387389312446008,0.2081769592786065,7833.565744400024,1.029731085032255,7833.565744400024,8066.466153652541
2025-11-11,138874,138874,10290889105.0,3.4765113286287897e+19,1.249866e+21,1241498,3476.511328628789,622.165183264924,459.0,605.0,735.0,39577.0,180896.4,399618.1199999994,1.8722079897821793e-07,3.565166434519477e-07,6.24142612651176e-07,9814.1566324234,0.11680909673425831,59.01639344262295,0.19630417645618414,0.35423434318780966,0.19631523650938384,0.3738347959242695,0.6544609642033196,2.6913509999999996,0.9533689537728546,0.5283532080947666,1.0061206518455785,1.761384170469568,9356.512240816419,0.1203414949293592,0.2022405678673953,8823.861188411713,0.9915500194025548,17647.722376823425,17422.97839446896
2025-11-12,140260,140260,10531511362.0,3.5699563147798884e+19,1.26234e+21,1256064,3569.9563147798885,616.08678693668,472.0,605.0,721.0,40933.5,178570.1,402193.46000000037,1.9399486330281144e-07,3.6145830457296453e-07,6.219882329121638e-07,10043.631898880005,0.11835907928816972,59.01639344262295,0.19890900824817412,0.35544475850195034,0.2034183577826088,0.37901650317590085,0.652201933314105,2.573460625,0.9147230903674032,0.5234891341557061,0.9753840471483683,1.678415994932725,9187.14200905615,0.11968068971562935,0.20113004799432158,9230.451425234476,0.9659410430575042,27691.35427570343,26610.120403525107
2025-11-13,141126,141126,10542716242.0,3.5852052593484763e+19,1.270134e+21,1265343,3585.2052593484764,612.2825344407279,474.0,605.0,717.0,40764.0,176957.0,388999.75,1.9552492229968566e-07,3.5834393609724145e-07,6.186364030449365e-07,10054.317705154419,0.11775793936389087,59.01639344262295,0.19789875920876102,0.35658364540345633,0.2050227409253152,0.37575085113710105,0.6486872849592473,2.5168295,0.8974602379689584,0.5160072825316906,0.9457008267919644,1.63263529506034,9023.350360283397,0.11920000212769474,0.20032222579793144,9436.417995214462,0.9488208417853677,37745.67198085785,35633.4707638085
2025-11-14,139513,139513,10582093560.0,3.6467917872292495e+19,1.255617e+21,1248848,3646.79178722925,619.3630042223131,468.0,605.0,731.0,40208.0,182530.2,385890.64000000025,1.9966237370252424e-07,3.627242182223305e-07,6.249216380737561e-07,10091.87084197998,0.11956432913926718,59.01639344262295,0.20093449758126844,0.3613593400402423,0.20936117316749805,0.3803439098466984,0.6552778315648269,2.399231125,0.866984575934008,0.5023058430299762,0.9125329467083928,1.57216296901284,8749.496362314794,0.11927286753000924,0.20044468015459885,9567.508564567566,0.9324535886150958,47837.54282283783,44382.967126123294
2025-11-15,139243,139243,10436715738.0,3.593793434250534e+19,1.253187e+21,1245557,3593.7934342505337,620.5420730568683,470.0,606.0,729.0,40045.0,180211.8,392711.559999997,1.9650138161626732e-07,3.641705015148189e-07,6.32842229659615e-07,9953.227746963501,0.11795543208141672,59.01639344262295,0.1985583106703848,0.36106814046799207,0.20604663272965912,0.38186044779640277,0.6635831738075605,2.4715420416666665,0.8923950890730479,0.5092529153352034,0.9437841507784688,1.6400737122079845,8882.211561815824,0.1190532949552438,0.20013028524056317,9631.795094966888,0.9257771720247545,57790.77056980133,53265.178687939115
2025-11-16,138130,138130,10290755284.0,3.5273720892243337e+19,1.24317e+21,1234149,3527.372089224334,625.5684217385638,477.0,606.0,726.0,39536.5,179489.50000000003,401043.9399999991,1.9770931149225357e-07,3.634369048895769e-07,6.320722024823735e-07,9814.029010772705,0.11724294030630142,59.01639344262295,0.19735894951560737,0.35942140433377495,0.20731323900730128,0.381091215981493,0.6627757417901573,2.3964120833333333,0.861321796354094,0.49680795099206815,0.9132515948302429,1.5882837961661462,8453.03709702994,0.11879467286253775,0.19973438013699804,9657.828511510577,0.9165692612146602,67604.79958057404,61718.215784969056
2025-11-17,139204,139204,10579108041.0,3.653242919281767e+19,1.252836e+21,1244165,3653.242919281767,620.861283971199,466.0,605.0,725.0,41996.0,176187.0,368085.58,2.040885130922973e-07,3.66518371732654e-07,6.242432515405086e-07,10089.023629188538,0.11979592622597927,59.01639344262295,0.20132370935199295,0.3621007397299156,0.21400231670426872,0.3843223681579394,0.6545664917273404,2.280747875,0.825860492674933,0.48808532906833785,0.8765424244911879,1.4929011350533365,8332.126025010686,0.1182121061627548,0.19875534443319612,9980.036780766079,0.8874448908778998,77693.82320976257,70050.34180997974
2025-11-18,140905,140905,10292138918.0,3.4668109094212456e+19,1.268145e+21,1264273,3466.8109094212455,613.3486078968665,471.0,606.0,724.0,38618.0,177118.40000000002,378741.75999999896,1.9047352005725622e-07,3.5396293442382207e-07,6.132826121062374e-07,9815.348546981812,0.11494939709023591,59.01639344262295,0.19349815176856375,0.3532030363289828,0.1997259617675575,0.37115703792639365,0.6430734282719099,2.271556791666667,0.8023207560103893,0.4536888649252523,0.8431042902765822,1.4607778135314242,7875.057866719923,0.1179464347850373,0.19835448376353607,9980.207054274422,0.8658665769118333,87509.17175674438,77925.39967669967
2025-11-19,139669,139669,10465454431.0,3.5217422757207278e+19,1.257021e+21,1250379,3521.7422757207273,618.6451167120149,467.0,606.0,727.0,39543.0,180617.99999999994,388465.88000000076,1.9067213117399147e-07,3.5701535416891365e-07,6.147025587030762e-07,9980.635100364685,0.1179194730762749,59.01639344262295,0.1984977796783961,0.3528575326425916,0.19993422061789928,0.3743577320130228,0.6445623501946368,2.2541684583333335,0.7954003203682546,0.4506854138583266,0.8438653916369588,1.4529521192379546,7938.600356308717,0.11788363389762375,0.19829573682499632,9971.207511629376,0.8488204669119551,97489.80685710907,85864.00003300839
2025-11-20,141898,141898,10523750798.0,3.653545927550766e+19,1.277082e+21,1273109,3653.545927550766,608.9534405108434,480.0,605.0,711.0,40288.0,176304.10000000003,386051.8899999999,2.025752261034627e-07,3.6792879207370674e-07,6.450175668340346e-07,10036.230848312378,0.11690659008248597,59.01639344262295,0.19646801944417777,0.3640356606748559,0.2124155202866645,0.3858013010774791,0.6763499401605647,2.2887540833333335,0.8331881048485242,0.4861668894194779,0.8830043031963931,1.5479986873047482,8362.068160327688,0.11776201257170878,0.19809134543005588,9968.623674937657,0.8396387336090358,107526.03770542145,94226.06819333608
