ct_block,timestamp,who,old_core,core,begin,price,duration,workload
329458,1729508466,0xea05f87e141ce5a6f38702929411405799a18e69128fafd24e849444072e5d6d,60,52,292605,1000000000000,5040,[{"assignment":{"Task":2056},"mask":"0xffffffffffffffffffff"}]
627369,1733133228,0xea05f87e141ce5a6f38702929411405799a18e69128fafd24e849444072e5d6d,52,54,297645,1030000000000,5040,[{"assignment":{"Task":2056},"mask":"0xffffffffffffffffffff"}]
728412,1734367518,0x4e5d80a091a712b727ecbb00882bb28d4d64a6e7f6c87654b3243c489623f510,46,46,302685,151107194246,5040,[{"assignment":{"Task":2094},"mask":"0xffffffffffffffffffff"}]
730717,1734396006,0xea05f87e141ce5a6f38702929411405799a18e69128fafd24e849444072e5d6d,54,47,302685,81395509230,5040,[{"assignment":{"Task":2056},"mask":"0xffffffffffffffffffff"}]
832742,1735634172,0x24d6d7cd9a0500be768efc7b5508e7861cbde7cfc06819e4dfd9120b97d46d3e,51,54,302685,151107194246,5040,[{"assignment":{"Task":2101},"mask":"0xffffffffffffffffffff"}]
900371,1736454600,0x24d6d7cd9a0500be768efc7b5508e7861cbde7cfc06819e4dfd9120b97d46d3e,54,46,307725,6495450669,5040,[{"assignment":{"Task":2101},"mask":"0xffffffffffffffffffff"}]
900896,1736460954,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,49,47,307725,14370024330,5040,[{"assignment":{"Task":3403},"mask":"0xffffffffffffffffffff"}]
900901,1736461014,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,50,48,307725,14368675163,5040,[{"assignment":{"Task":3404},"mask":"0xffffffffffffffffffff"}]
900902,1736461026,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,51,49,307725,14367595814,5040,[{"assignment":{"Task":3405},"mask":"0xffffffffffffffffffff"}]
900905,1736461062,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,52,50,307725,14365976830,5040,[{"assignment":{"Task":3406},"mask":"0xffffffffffffffffffff"}]
900921,1736461254,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,53,51,307725,14364897480,5040,[{"assignment":{"Task":3407},"mask":"0xffffffffffffffffffff"}]
924619,1736748546,0x4e5d80a091a712b727ecbb00882bb28d4d64a6e7f6c87654b3243c489623f510,46,52,307725,151107194200,5040,[{"assignment":{"Task":2094},"mask":"0xffffffffffffffffffff"}]
926341,1736769582,0xea05f87e141ce5a6f38702929411405799a18e69128fafd24e849444072e5d6d,47,53,307725,83837374507,5040,[{"assignment":{"Task":2056},"mask":"0xffffffffffffffffffff"}]
1099803,1738875618,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,47,46,312765,14801125060,5040,[{"assignment":{"Task":3403},"mask":"0xffffffffffffffffffff"}]
1099916,1738876974,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,48,47,312765,14799735418,5040,[{"assignment":{"Task":3404},"mask":"0xffffffffffffffffffff"}]
1099917,1738876986,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,49,48,312765,14798623688,5040,[{"assignment":{"Task":3405},"mask":"0xffffffffffffffffffff"}]
1099927,1738877106,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,50,49,312765,14796956135,5040,[{"assignment":{"Task":3406},"mask":"0xffffffffffffffffffff"}]
1099928,1738877118,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,51,50,312765,14795844404,5040,[{"assignment":{"Task":3407},"mask":"0xffffffffffffffffffff"}]
1101502,1738896126,0x7232c82a96e3f7acf5fd434ffe60468d46fbf42dd4c70a6acd02566048cb4545,54,51,312765,14793124466,5040,[{"assignment":{"Task":3408},"mask":"0xffffffffffffffffffff"}]
1103847,1738924632,0xea05f87e141ce5a6f38702929411405799a18e69128fafd24e849444072e5d6d,53,52,312765,15110719400,5040,[{"assignment":{"Task":2056},"mask":"0xffffffffffffffffffff"}]
1104502,1738932690,0x4e5d80a091a712b727ecbb00882bb28d4d64a6e7f6c87654b3243c489623f510,52,53,312765,15110719400,5040,[{"assignment":{"Task":2094},"mask":"0xffffffffffffffffffff"}]
1112493,1739029380,0x24d6d7cd9a0500be768efc7b5508e7861cbde7cfc06819e4dfd9120b97d46d3e,46,54,312765,6690314189,5040,[{"assignment":{"Task":2101},"mask":"0xffffffffffffffffffff"}]
1299687,1741301052,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,46,44,317805,15245158812,5040,[{"assignment":{"Task":3403},"mask":"0xffffffffffffffffffff"}]
1299777,1741302162,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,47,45,317805,15243727481,5040,[{"assignment":{"Task":3404},"mask":"0xffffffffffffffffffff"}]
