ct_block,timestamp,who,region_begin,core,mask,price,duration
219146,1728170808,0xf44589e01ac6c087d435e44f29c016f2a5d61d1a96afad80d288be1247871603,287565,51,0xffffffffffffffffffff,690035714200,5040
228185,1728280098,0xb3cab2c6547db2065a606536feff20254782ec1ee8053815af34ccbca057f0c5,287565,52,0xffffffffffffffffffff,528625000000,5040
228292,1728281382,0xb3cab2c6547db2065a606536feff20254782ec1ee8053815af34ccbca057f0c5,287565,53,0xffffffffffffffffffff,526714285600,5040
228296,1728281430,0xb3cab2c6547db2065a606536feff20254782ec1ee8053815af34ccbca057f0c5,287565,54,0xffffffffffffffffffff,526642858000,5040
228300,1728281478,0xb3cab2c6547db2065a606536feff20254782ec1ee8053815af34ccbca057f0c5,287565,55,0xffffffffffffffffffff,526571428600,5040
398149,1730343606,0x7232c82a96e3f7acf5fd434ffe60468d46fbf42dd4c70a6acd02566048cb4545,292605,53,0xffffffffffffffffffff,880878771947,5040
398830,1730351910,0x7efaa038e36d059c36e3a6e49e90631e90984dd7a138f4496656ddf605a7d76d,292605,54,0xffffffffffffffffffff,816843928615,5040
428666,1730713674,0x8878ec10931709cce415ee147f70699514e02b07eff075a0d2fbdc262d77280a,292605,55,0xffffffffffffffffffff,275048944358,5040
428847,1730715876,0x7efaa038e36d059c36e3a6e49e90631e90984dd7a138f4496656ddf605a7d76d,292605,56,0xffffffffffffffffffff,273346990201,5040
441839,1730873310,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,292605,57,0xffffffffffffffffffff,151182418661,5040
441841,1730873334,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,292605,58,0xffffffffffffffffffff,151163611846,5040
441842,1730873346,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,292605,59,0xffffffffffffffffffff,151154209387,5040
441845,1730873382,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,292605,60,0xffffffffffffffffffff,151126000113,5040
441847,1730873406,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,292605,61,0xffffffffffffffffffff,151107194246,5040
