block_number,timestamp,backed,included,timed_out,disputes,cores_active,distinct_paras,bitfields,avg_avail
29852243,1770463128000,21,36,0,0,36,34,598,0.998
29852244,1770463134000,33,21,0,0,21,19,598,0.9923
29852245,1770463140000,21,33,0,0,33,31,598,0.9984
29852246,1770463146000,33,21,0,0,21,19,598,0.9978
29852247,1770463152000,22,33,0,0,33,31,598,0.9991
29852248,1770463158000,36,22,0,0,22,20,598,0.9986
29852249,1770463164000,22,36,0,0,36,34,598,0.9987
29852250,1770463170000,36,22,0,0,22,20,598,0.9979
29852251,1770463176000,22,36,0,0,36,34,594,0.9986
29852252,1770463182000,33,22,0,0,22,20,598,0.9988
29852253,1770463188000,20,33,0,0,33,31,598,0.9987
29852254,1770463194000,28,20,0,0,20,18,598,0.9986
29852255,1770463200000,17,28,0,0,28,27,598,0.9986
29852256,1770463206000,28,17,0,0,17,17,598,0.9972
29852257,1770463212000,21,28,0,0,28,28,598,0.9991
29852258,1770463218000,35,21,0,0,21,19,598,0.999
29852259,1770463224000,21,35,0,0,35,33,597,0.9985
29852260,1770463230000,33,21,0,0,21,19,598,0.9986
29852261,1770463236000,20,33,0,0,33,31,598,0.9979
29852262,1770463242000,34,20,0,0,20,18,598,0.9987
29852263,1770463248000,20,34,0,0,34,32,598,0.9991
29852264,1770463254000,35,20,0,0,20,18,598,0.9983
29852265,1770463260000,21,35,0,0,35,33,598,0.9989
29852266,1770463266000,26,21,0,0,21,20,598,0.9935
29852267,1770463272000,22,26,0,0,26,26,598,0.9985
29852268,1770463278000,27,22,0,0,22,20,598,0.9986
29852269,1770463284000,22,27,0,0,27,27,598,0.9986
29852270,1770463290000,30,22,0,0,22,21,598,0.9991
29852271,1770463296000,22,30,0,0,30,28,598,0.9986
29852272,1770463302000,29,22,0,0,22,20,598,0.9992
29852273,1770463308000,23,29,0,0,29,27,598,0.9987
29852274,1770463314000,27,23,0,0,23,22,598,0.9982
29852275,1770463320000,21,27,0,0,27,27,598,0.9988
29852276,1770463326000,29,21,0,0,21,21,598,0.999
29852277,1770463332000,21,29,0,0,29,28,598,0.9989
29852278,1770463338000,29,21,0,0,21,19,598,0.9986
29852279,1770463344000,24,29,0,0,29,27,598,0.9982
29852280,1770463350000,31,24,0,0,24,22,598,0.9987
29852281,1770463356000,24,31,0,0,31,29,598,0.9987
29852282,1770463362000,30,24,0,0,24,22,598,0.9986
29852283,1770463368000,24,30,0,0,30,28,598,0.9986
29852284,1770463374000,29,24,0,0,24,22,597,0.9981
29852285,1770463380000,24,29,0,0,29,27,598,0.9987
29852286,1770463386000,28,24,0,0,24,22,598,0.9962
29852287,1770463392000,23,28,0,0,28,26,598,0.9988
29852288,1770463398000,32,23,0,0,23,21,598,0.9988
29852289,1770463404000,23,32,0,0,32,31,598,0.9986
29852290,1770463410000,29,23,0,0,23,23,598,0.9985
29852291,1770463416000,25,29,0,0,29,29,598,0.9986
29852292,1770463422000,28,25,0,0,25,23,598,0.9986
29852293,1770463428000,23,28,0,0,28,26,598,0.9991
29852294,1770463434000,23,23,0,0,23,21,598,0.9985
29852295,1770463440000,26,23,0,0,23,22,598,0.9987
29852296,1770463446000,23,26,0,0,26,24,598,0.9986
29852297,1770463452000,27,23,0,0,23,21,598,0.9988
29852298,1770463458000,24,27,0,0,27,25,598,0.998
29852299,1770463464000,23,24,0,0,24,22,598,0.9978
29852300,1770463470000,21,23,0,0,23,21,598,0.9987
29852301,1770463476000,0,21,0,0,21,21,539,0.9984
29852302,1770463482000,33,0,0,0,0,0,598,0
29852303,1770463488000,21,33,0,0,33,32,598,0.9981
29852304,1770463494000,32,21,0,0,21,19,598,0.9982
29852305,1770463500000,24,32,0,0,32,30,598,0.9984
29852306,1770463506000,34,24,0,0,24,22,598,0.9977
29852307,1770463512000,21,34,0,0,34,32,597,0.9985
29852308,1770463518000,31,21,0,0,21,19,598,0.9982
