block_number,timestamp,backed,included,timed_out,disputes,cores_active,distinct_paras,bitfields,avg_avail
29074643,1765773030000,30,20,0,0,20,20,597,0.9977
29074644,1765773036000,18,30,0,0,30,30,596,0.9994
29074645,1765773042000,30,18,0,0,18,18,597,0.9963
29074646,1765773048000,19,30,0,0,30,30,596,0.9973
29074647,1765773054000,33,19,0,0,19,19,596,0.998
29074648,1765773060000,19,33,0,0,33,33,593,0.9989
29074649,1765773066000,26,19,0,0,19,19,595,0.9996
29074650,1765773072000,17,26,0,0,26,26,595,0.9994
29074651,1765773078000,29,17,0,0,17,17,596,0.9981
29074652,1765773084000,17,29,0,0,29,29,596,0.9969
29074653,1765773090000,31,17,0,0,17,17,596,0.9972
29074654,1765773096000,21,31,0,0,31,31,596,0.9977
29074655,1765773102000,30,21,0,0,21,21,595,0.9993
29074656,1765773108000,19,30,0,0,30,30,596,0.9973
29074657,1765773114000,30,19,0,0,19,19,596,0.9962
29074658,1765773120000,22,30,0,0,30,30,596,0.9979
29074659,1765773126000,29,22,0,0,22,22,596,0.9981
29074660,1765773132000,18,29,0,0,29,29,596,0.9979
29074661,1765773138000,26,18,0,0,18,18,595,0.9971
29074662,1765773144000,20,26,0,0,26,26,596,0.9954
29074663,1765773150000,26,20,0,0,20,20,595,0.9993
29074664,1765773156000,17,26,0,0,26,26,596,0.9979
29074665,1765773162000,26,17,0,0,17,17,596,0.9981
29074666,1765773168000,21,26,0,0,26,26,595,0.9991
29074667,1765773174000,33,21,0,0,21,21,596,0.9978
29074668,1765773180000,22,33,0,0,33,33,596,0.9975
29074669,1765773186000,31,22,0,0,22,22,596,0.9973
29074670,1765773192000,21,31,0,0,31,31,595,0.9995
29074671,1765773198000,33,21,0,0,21,21,595,0.9997
29074672,1765773204000,21,33,0,0,33,33,596,0.9974
29074673,1765773210000,28,21,0,0,21,21,595,0.9986
29074674,1765773216000,21,28,0,0,28,28,596,0.9975
29074675,1765773222000,29,21,0,0,21,21,595,0.9994
29074676,1765773228000,21,29,0,0,29,29,596,0.9979
29074677,1765773234000,31,21,0,0,21,21,596,0.997
29074678,1765773240000,21,31,0,0,31,31,596,0.9972
29074679,1765773246000,30,21,0,0,21,21,595,0.9998
29074680,1765773252000,19,30,0,0,30,30,596,0.9975
29074681,1765773258000,30,19,0,0,19,19,596,0.9974
29074682,1765773264000,20,30,0,0,30,30,596,0.9951
29074683,1765773270000,31,20,0,0,20,20,595,0.9992
29074684,1765773276000,21,31,0,0,31,31,596,0.9978
29074685,1765773282000,27,21,0,0,21,21,596,0.9976
29074686,1765773288000,21,27,0,0,27,27,596,0.9975
29074687,1765773294000,30,21,0,0,21,21,596,0.9977
29074688,1765773300000,19,30,0,0,30,30,596,0.9979
29074689,1765773306000,28,19,0,0,19,19,596,0.9977
29074690,1765773312000,20,28,0,0,28,28,595,0.9994
29074691,1765773318000,32,20,0,0,20,20,596,0.9976
29074692,1765773324000,20,32,0,0,32,32,596,0.9956
29074693,1765773330000,29,20,0,0,20,20,595,0.9991
29074694,1765773336000,22,29,0,0,29,29,595,0.9992
29074695,1765773342000,25,22,0,0,22,22,596,0.9979
29074696,1765773348000,25,25,0,0,25,25,596,0.9978
29074697,1765773354000,26,25,0,0,25,25,596,0.9977
29074698,1765773360000,23,26,0,0,26,26,596,0.9967
29074699,1765773366000,24,23,0,0,23,23,596,0.9972
29074700,1765773372000,23,24,0,0,24,24,596,0.9962
29074701,1765773378000,28,23,0,0,23,23,596,0.998
29074702,1765773384000,23,28,0,0,28,28,596,0.9973
29074703,1765773390000,25,23,0,0,23,23,596,0.9977
29074704,1765773396000,21,25,0,0,25,25,596,0.9977
29074705,1765773402000,28,21,0,0,21,21,595,0.9997
29074706,1765773408000,25,28,0,0,28,28,596,0.9966
29074707,1765773414000,28,25,0,0,25,25,595,0.9995
29074708,1765773420000,24,28,0,0,28,28,596,0.9977
29074709,1765773426000,28,24,0,0,24,24,596,0.998
29074710,1765773432000,25,28,0,0,28,28,596,0.9977
29074711,1765773438000,26,25,0,0,25,25,595,0.9989
29074712,1765773444000,25,26,0,0,26,26,596,0.9966
29074713,1765773450000,28,25,0,0,25,25,595,0.9994
29074714,1765773456000,26,28,0,0,28,28,596,0.9977
29074715,1765773462000,27,26,0,0,26,26,596,0.9977
29074716,1765773468000,26,27,0,0,27,27,596,0.9979
29074717,1765773474000,24,26,0,0,26,26,596,0.9968
29074718,1765773480000,1,24,0,0,24,24,596,0.9971
29074719,1765773486000,36,1,0,0,1,1,595,0.9983
29074720,1765773492000,18,36,0,0,36,36,596,0.9996
29074721,1765773498000,32,18,0,0,18,18,597,0.9978
29074722,1765773504000,21,32,0,0,32,32,596,0.9977
29074723,1765773510000,31,21,0,0,21,21,596,0.997
29074724,1765773516000,23,31,0,0,31,31,596,0.9971
29074725,1765773522000,29,23,0,0,23,23,596,0.9977
29074726,1765773528000,23,29,0,0,29,29,596,0.9979
29074727,1765773534000,29,23,0,0,23,23,595,0.9989
29074728,1765773540000,23,29,0,0,29,29,596,0.998
29074729,1765773546000,28,23,0,0,23,23,596,0.9975
29074730,1765773552000,25,28,0,0,28,28,596,0.9969
29074731,1765773558000,26,25,0,0,25,25,596,0.9976
29074732,1765773564000,21,26,0,0,26,26,596,0.9976
29074733,1765773570000,26,21,0,0,21,21,596,0.9977
29074734,1765773576000,24,26,0,0,26,26,596,0.9979
29074735,1765773582000,26,24,0,0,24,24,595,0.999
29074736,1765773588000,27,26,0,0,26,26,595,0.9991
29074737,1765773594000,28,27,0,0,27,27,595,0.9993
29074738,1765773600000,24,28,0,0,28,28,596,0.9977
29074739,1765773606000,26,24,0,0,24,24,595,0.9991
29074740,1765773612000,26,26,0,0,26,26,596,0.9977
29074741,1765773618000,27,26,0,0,26,26,595,0.9986
29074742,1765773624000,27,27,0,0,27,27,595,0.9992
29074743,1765773630000,26,27,0,0,27,27,596,0.996
29074744,1765773636000,21,26,0,0,26,26,596,0.9976
29074745,1765773642000,26,21,0,0,21,21,595,0.9993
29074746,1765773648000,27,26,0,0,26,26,595,0.9995
29074747,1765773654000,25,27,0,0,27,27,596,0.9963
29074748,1765773660000,28,25,0,0,25,25,596,0.9977
29074749,1765773666000,26,28,0,0,28,28,596,0.9979
29074750,1765773672000,27,26,0,0,26,26,595,0.999
29074751,1765773678000,25,27,0,0,27,27,595,0.996
29074752,1765773684000,24,25,0,0,25,25,595,0.9995
29074753,1765773690000,24,24,0,0,24,24,595,0.9994
29074754,1765773696000,29,24,0,0,24,24,595,0.9996
29074755,1765773702000,25,29,0,0,29,29,595,0.9988
29074756,1765773708000,28,25,0,0,25,25,595,0.9991
29074757,1765773714000,24,28,0,0,28,28,595,0.9991
29074758,1765773720000,27,24,0,0,24,24,596,0.9969
29074759,1765773726000,22,27,0,0,27,27,596,0.9975
29074760,1765773732000,25,22,0,0,22,22,596,0.9953
29074761,1765773738000,24,25,0,0,25,25,596,0.9978
29074762,1765773744000,27,24,0,0,24,24,596,0.9977
29074763,1765773750000,23,27,0,0,27,27,596,0.9976
29074764,1765773756000,26,23,0,0,23,23,595,0.9995
29074765,1765773762000,24,26,0,0,26,26,595,0.9988
29074766,1765773768000,31,24,0,0,24,24,595,0.9995
29074767,1765773774000,25,31,0,0,31,31,596,0.9977
29074768,1765773780000,26,25,0,0,25,25,596,0.9977
29074769,1765773786000,22,26,0,0,26,26,596,0.9972
29074770,1765773792000,29,22,0,0,22,22,595,0.9996
29074771,1765773798000,22,29,0,0,29,29,596,0.9978
29074772,1765773804000,24,22,0,0,22,22,596,0.9975
29074773,1765773810000,23,24,0,0,24,24,596,0.9973
29074774,1765773816000,25,23,0,0,23,23,596,0.9975
29074775,1765773822000,26,25,0,0,25,25,596,0.9977
29074776,1765773828000,27,26,0,0,26,26,596,0.9978
29074777,1765773834000,25,27,0,0,27,27,595,0.9993
29074778,1765773840000,29,25,0,0,25,25,596,0.9975
29074779,1765773846000,23,29,0,0,29,29,595,0.9984
29074780,1765773852000,26,23,0,0,23,23,596,0.9978
29074781,1765773858000,23,26,0,0,26,26,596,0.9971
29074782,1765773864000,28,23,0,0,23,23,596,0.998
29074783,1765773870000,22,28,0,0,28,28,596,0.9968
29074784,1765773876000,26,22,0,0,22,22,596,0.9979
29074785,1765773882000,23,26,0,0,26,26,596,0.9977
29074786,1765773888000,25,23,0,0,23,23,595,0.9996
29074787,1765773894000,20,25,0,0,25,25,596,0.9967
29074788,1765773900000,24,20,0,0,20,20,596,0.997
29074789,1765773906000,22,24,0,0,24,24,596,0.9969
29074790,1765773912000,26,22,0,0,22,22,596,0.9975
29074791,1765773918000,22,26,0,0,26,26,596,0.9966
29074792,1765773924000,22,22,0,0,22,22,596,0.9977
29074793,1765773930000,24,22,0,0,22,22,596,0.9963
29074794,1765773936000,25,24,0,0,24,24,596,0.9979
29074795,1765773942000,22,25,0,0,25,25,595,0.9987
29074796,1765773948000,25,22,0,0,22,22,595,0.9989
29074797,1765773954000,25,25,0,0,25,25,595,0.9995
29074798,1765773960000,25,25,0,0,25,25,595,0.9996
29074799,1765773966000,26,25,0,0,25,25,595,0.9969
29074800,1765773972000,27,26,0,0,26,26,595,0.9978
29074801,1765773978000,22,27,0,0,27,27,596,0.9963
29074802,1765773984000,29,22,0,0,22,22,597,0.9964
29074803,1765773990000,24,29,0,0,29,29,597,0.9968
